### Footprint positions - created on Tue Apr  2 15:12:44 2024 ###
### Printed by KiCad version 7.0.9
## Unit = mm, Angle = deg.
## Side : All
# Ref     Val                      Package                                                       PosX       PosY       Rot  Side
C1        4u7                      C_0603_1608Metric                                          12.0250    13.1500  180.0000  top
C2        4u7                      C_0603_1608Metric                                          25.6250    10.1750  -90.0000  top
C3        100n                     C_0402_1005Metric                                          25.8200    17.2500  180.0000  top
C4        100n                     C_0402_1005Metric                                          32.9700    11.2500    0.0000  top
C5        4u7                      C_0603_1608Metric                                          12.0250     7.3500  180.0000  top
C6        100n                     C_0402_1005Metric                                          26.6250    12.6100   90.0000  top
C7        100n                     C_0402_1005Metric                                          28.5500    22.0000  180.0000  top
C8        4u7                      C_0603_1608Metric                                          27.8000    23.5000  180.0000  top
C9        100n                     C_0402_1005Metric                                          36.0000    16.0200  -90.0000  top
C10       100n                     C_0402_1005Metric                                          28.5700    21.0000  180.0000  top
C11       100n                     C_0402_1005Metric                                          25.6250    12.6300   90.0000  top
C12       100n                     C_0402_1005Metric                                          36.5300    18.8800  -90.0000  top
C13       10p                      C_0402_1005Metric                                          30.0250    11.0750    0.0000  top
C14       10p                      C_0402_1005Metric                                          27.6750    11.1000  180.0000  top
C15       100n                     C_0402_1005Metric                                          24.3000     8.5200   90.0000  top
C16       4u7                      C_0603_1608Metric                                          32.0750    21.5000    0.0000  top
C17       100n                     C_0402_1005Metric                                          16.5000     2.7800  -90.0000  top
C18       0p8                      C_0402_1005Metric                                          37.5500    16.8700  -90.0000  top
C19       0p3                      C_0402_1005Metric                                          40.5250    16.8700  -90.0000  top
D1        Green                    LED_0402_1005Metric                                        15.4000     8.7750   90.0000  top
D2        Blue                     LED_0402_1005Metric                                        23.9150    23.0000    0.0000  top
FM1       Fiducial                 Fiducial_1mm_Mask2mm                                        1.7500    24.2500    0.0000  top
FM2       Fiducial                 Fiducial_1mm_Mask2mm                                       46.2500    24.2500    0.0000  top
FM3       Fiducial                 Fiducial_1mm_Mask2mm                                       46.2500     1.7500    0.0000  top
FTL1      DLF162500LT-5028A1       DLF162500LT-5028A1                                         42.2750    17.3500    0.0000  top
J1        USB_C_Receptacle_USB2.0  USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal     3.8850    17.4750  -90.0000  top
J2        Conn_01x10               PinHeader_1x10_P2.54mm_Vertical                            42.0000     2.0000  -90.0000  top
J4        Conn_Coaxial             U.FL_Hirose_U.FL-R-SMT-1_Vertical                          45.5000    17.3500    0.0000  top
L1        10n                      L_0402_1005Metric                                          30.0500    21.4850   90.0000  top
L2        10u                      L_0805_2012Metric                                          31.1125    23.5000    0.0000  top
L3        2n7                      L_0402_1005Metric                                          39.0350    17.3500    0.0000  top
R1        220R                     R_0402_1005Metric                                          38.5000    10.8000  -90.0000  top
R2        220R                     R_0402_1005Metric                                          35.5000    10.8000  -90.0000  top
R3        220R                     R_0402_1005Metric                                          34.4500    10.7900  -90.0000  top
R4        5k1                      R_0402_1005Metric                                           4.7500    11.5000    0.0000  top
R5        5k1                      R_0402_1005Metric                                           4.7500    23.5000    0.0000  top
R6        220R                     R_0402_1005Metric                                          16.7500     8.7850   90.0000  top
R7        220R                     R_0402_1005Metric                                          23.9200    24.0000    0.0000  top
R8        5k1                      R_0402_1005Metric                                          37.0100    11.3000  180.0000  top
R9        5k1                      R_0402_1005Metric                                          19.7400    11.4500    0.0000  top
R10       5k1                      R_0402_1005Metric                                          21.8650    11.4750  180.0000  top
R11       5k1                      R_0402_1005Metric                                          15.2500     2.7600  -90.0000  top
R12       220R                     R_0402_1005Metric                                          14.0000     2.7700  -90.0000  top
SW1       SW_Push                  SW_SPST_CK_RS282G05A3                                       8.5000     2.2600  180.0000  top
U1        MIC5365-3.3YD5           SOT-23-5                                                   12.0500    10.2400  -90.0000  top
U2        USBLC6-2SC6              SOT-23-6                                                   11.6625    17.4500    0.0000  top
U3        STM32WB55CEU6            QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm                        31.3000    16.1000   90.0000  top
X1        32k768                   Crystal_SMD_2012-2Pin_2.0x1.2mm                            28.8500     9.6500  180.0000  top
X2        32M                      Crystal_SMD_2016-4Pin_2.0x1.6mm                            36.9000    21.7500   90.0000  top
## End
